[DEBUG] [2021-07-02 13:56:51] SslHandler.setHandshakeSuccess(1746) | [id: 0xa752d679, L:/127.0.0.1:49698 - R:/127.0.0.1:20201] HANDSHAKEN: protocol:TLSv1.2 cipher suite:TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384
[INFO] [2021-07-02 13:56:51] ChannelHandler.userEventTriggered(73) |  handshake success, host: 127.0.0.1, port: 20201, ctx: 1577558056
[DEBUG] [2021-07-02 13:56:51] ConnectionManager.addConnectionContext(427) | addConnectionContext, endpoint: 127.0.0.1:20201, ctx:ChannelHandlerContext(ChannelHandler#0, [id: 0xa752d679, L:/127.0.0.1:49698 - R:/127.0.0.1:20201])
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onConnect(112) | onConnect in ChannelMsgHandler called, host : 127.0.0.1:20201
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 84390dfdee744b2990e86bd42c1f81f4, msgType : 18
[INFO] [2021-07-02 13:56:51] ChannelMsgHandler$1.onResponse(225) |  node: ClientVersion{version='2.7.2', supportedVersion='2.7.2', chainId='1', buildTime='20210201 10:03:03', buildType='Linux/clang/Release', gitBranch='HEAD', gitCommitHash='4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da'}, content: {"id":3,"jsonrpc":"2.0","result":{"Build Time":"20210201 10:03:03","Build Type":"Linux/clang/Release","Chain Id":"1","FISCO-BCOS Version":"2.7.2","Git Branch":"HEAD","Git Commit Hash":"4c8a5bbe44c19db8a002017ff9dbb16d3d28e9da","Supported Version":"2.7.2"}}

[INFO] [2021-07-02 13:56:51] ChannelMsgHandler$1.onResponse(233) |  support channel handshake node
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ee2a958522b94918b92efc46ee6c9c03, msgType : 20
[INFO] [2021-07-02 13:56:51] ChannelMsgHandler$2.onResponse(309) |  channel protocol handshake success, set socket channel protocol, host: 127.0.0.1:20201, channel protocol: ChannelProtocol [protocol=3, nodeVersion=2.7.2, EnumProtocol=VERSION_3]
[INFO] [2021-07-02 13:56:51] GetNodeVersionHandler.onConnect(38) | GetNodeVersionHandler: onConnect, endpoint: 127.0.0.1:20201
[INFO] [2021-07-02 13:56:51] AmopMsgHandler.onConnect(76) | Node connected, update topics to node. node:127.0.0.1:20201
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7e7451869eab4377b6fe5ecce0cabcb8, msgType : 18
[DEBUG] [2021-07-02 13:56:51] GroupServiceImpl.insertNode(84) | g:1, insertNode=127.0.0.1:20201, nodeSize=2, blockNumberInfoSize=1
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 646fa7f434f945d49daf2c3be2eab671, msgType : 18
[DEBUG] [2021-07-02 13:56:51] GroupServiceImpl.updatePeersBlockNumberInfo(104) | updatePeersBlockNumberInfo for 127.0.0.1:20201, updated blockNumber: 216, groupId: 1
[DEBUG] [2021-07-02 13:56:51] GroupServiceImpl.updateLatestBlockNumber(127) | g:1, updateLatestBlockNumber, latestBlockNumber: 216, nodeWithLatestBlockNumber:[127.0.0.1:20200, 127.0.0.1:20201]
[DEBUG] [2021-07-02 13:56:51] GroupManagerServiceImpl.fetchAndUpdateBlockNumberInfo(542) | fetch and update the blockNumber information, groupId: 1, peer:127.0.0.1:20201, blockNumber: 216
[DEBUG] [2021-07-02 13:56:51] TopicManager.updateBlockNotify(158) | update block notify, peer: 127.0.0.1:20201, groupInfo: [1]
[DEBUG] [2021-07-02 13:56:51] TopicManager.updateBlockNotify(163) | add block notify, peer: 127.0.0.1:20201, topic: _block_notify_1
[INFO] [2021-07-02 13:56:51] AmopImp.sendSubscribe(216) | update subscribe inform 2 peers
[DEBUG] [2021-07-02 13:56:51] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20200, topics:["_block_notify_1"]
[DEBUG] [2021-07-02 13:56:51] AmopImp.updateSubscribeToPeer(238) | update topics to node, node:127.0.0.1:20201, topics:["_block_notify_1"]
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bbe19d06218c4f1d8c7632b832c2f225, msgType : 18
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9a00e9c32f884a6183463986e659c7dc, msgType : 19
[DEBUG] [2021-07-02 13:56:51] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f089923ed35348a9850b9ff335d9d374, msgType : 19
[DEBUG] [2021-07-02 13:56:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 49222050ae2c46c6ace2b7f0ab4c8252, msgType : 19
[DEBUG] [2021-07-02 13:56:53] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 0e80470936a64f46af290eb62aaf3652, msgType : 19
[DEBUG] [2021-07-02 13:56:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 7178a9083e2744da9d228683249a71bf, msgType : 19
[DEBUG] [2021-07-02 13:56:55] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 81ca53ffc3b64d5db69de9cebd7f8a68, msgType : 19
[DEBUG] [2021-07-02 13:56:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 46be844c619748bb87d2df57585fb28a, msgType : 19
[DEBUG] [2021-07-02 13:56:57] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4d8bf498048c4d17b2e3b35185983daf, msgType : 19
[DEBUG] [2021-07-02 13:56:59] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1345ba14dd0e4dedb469ebb8156cd159, msgType : 19
